Birmingham,Aston Villa,0-1
Man City,West Ham,2-1
Charlton,Fulham,1-1
Arsenal,Man City,1-0
Aston Villa,Wigan,0-2
Blackburn,Birmingham,2-0
Fulham,Liverpool,2-0
Man United,Tottenham,1-1
Portsmouth,Charlton,1-2
Bolton,West Brom,2-0
Everton,Chelsea,1-1
Newcastle,Sunderland,3-2
West Ham,Middlesbrough,2-1
Birmingham,Everton,0-1
Charlton,Bolton,0-1
Chelsea,Blackburn,4-2
Liverpool,West Ham,2-0
Middlesbrough,Man United,4-1
Sunderland,Portsmouth,1-4
Tottenham,Arsenal,1-1
Wigan,Fulham,1-0
West Brom,Newcastle,0-3
Man City,Aston Villa,3-1
Arsenal,Sunderland,3-1
Aston Villa,Liverpool,0-2
Blackburn,Charlton,4-1
Fulham,Man City,2-1
Newcastle,Birmingham,1-0
Portsmouth,Wigan,0-2
West Ham,West Brom,1-0
Everton,Middlesbrough,1-0
Man United,Chelsea,1-0
Bolton,Tottenham,1-0
Charlton,Man United,1-3
Chelsea,Newcastle,3-0
Liverpool,Portsmouth,3-0
Man City,Blackburn,0-0
Sunderland,Aston Villa,1-3
West Brom,Everton,4-0
Wigan,Arsenal,2-3
Middlesbrough,Fulham,3-2
Tottenham,West Ham,1-1
Arsenal,Blackburn,3-0
Aston Villa,Charlton,1-0
Man City,Liverpool,0-1
Portsmouth,Chelsea,0-2
Sunderland,Birmingham,0-1
Wigan,Tottenham,1-2
Everton,Newcastle,1-0
Fulham,Bolton,2-1
Middlesbrough,West Brom,2-2
West Ham,Man United,1-2
Sunderland,Liverpool,0-2
Blackburn,Everton,0-2
Bolton,Arsenal,2-0
Chelsea,Middlesbrough,1-0
Liverpool,Wigan,3-0
Man United,Portsmouth,3-0
Newcastle,Aston Villa,1-1
Tottenham,Sunderland,3-2
West Brom,Fulham,0-0
Charlton,Man City,2-5
Birmingham,West Ham,1-2
Birmingham,Fulham,1-0
Blackburn,West Ham,3-2
Bolton,Aston Villa,1-1
Charlton,Sunderland,2-0
Chelsea,Wigan,1-0
Liverpool,Middlesbrough,2-0
Newcastle,Arsenal,1-0
West Brom,Man City,2-0
Man United,Everton,1-1
Tottenham,Portsmouth,3-1
Everton,West Ham,1-2
Man United,Wigan,4-0
Aston Villa,Man United,0-2
Everton,Bolton,0-4
Fulham,Blackburn,2-1
Man City,Birmingham,4-1
Portsmouth,West Brom,1-0
West Ham,Newcastle,2-4
