Bayer Leverkusen,Bor. Mönchengladbach,2-1
Hertha BSC,Borussia Dortmund,0-0
Eintracht Frankfurt,FSV Mainz 05,0-0
Bayern München,Arminia Bielefeld,2-0
VfL Wolfsburg,Werder Bremen,1-1
FC Nürnberg,FC Kaiserslautern,3-2
Hannover 96,VfB Stuttgart,3-3
Bor. Mönchengladbach,Hertha BSC,2-2
Hamburger SV,Bayer Leverkusen,0-2
FC Köln,MSV Duisburg,3-1
Arminia Bielefeld,VfL Wolfsburg,0-1
VfB Stuttgart,Eintracht Frankfurt,0-2
FC Kaiserslautern,Hannover 96,1-0
Borussia Dortmund,FC Nürnberg,2-1
Werder Bremen,FC Schalke 04,0-0
FSV Mainz 05,Bayern München,2-2
FC Köln,Hamburger SV,0-1
Hertha BSC,Bayer Leverkusen,1-5
FC Nürnberg,Bor. Mönchengladbach,5-2
Hannover 96,Borussia Dortmund,1-2
Eintracht Frankfurt,FC Kaiserslautern,2-2
Bayern München,VfB Stuttgart,3-1
VfL Wolfsburg,FSV Mainz 05,0-3
FC Schalke 04,Arminia Bielefeld,3-1
MSV Duisburg,Werder Bremen,3-5
Hertha BSC,Hamburger SV,4-2
Werder Bremen,FC Köln,6-0
Arminia Bielefeld,MSV Duisburg,0-2
FSV Mainz 05,FC Schalke 04,1-0
VfB Stuttgart,VfL Wolfsburg,2-1
FC Kaiserslautern,Bayern München,1-1
Borussia Dortmund,Eintracht Frankfurt,1-1
Bor. Mönchengladbach,Hannover 96,2-2
Bayer Leverkusen,FC Nürnberg,2-2
FC Nürnberg,Hertha BSC,2-1
Hannover 96,Bayer Leverkusen,2-2
Eintracht Frankfurt,Bor. Mönchengladbach,0-2
Bayern München,Borussia Dortmund,3-3
VfL Wolfsburg,FC Kaiserslautern,2-2
FC Schalke 04,VfB Stuttgart,3-2
MSV Duisburg,FSV Mainz 05,0-0
FC Köln,Arminia Bielefeld,4-2
Hamburger SV,Werder Bremen,1-2
