Zaragoza,Alaves,3-0
Alaves,La Coruna,1-0
Ath Madrid,Betis,1-1
Cadiz,Malaga,5-0
Celta,Getafe,1-0
Espanol,Sociedad,1-0
Mallorca,Zaragoza,3-1
Sevilla,Barcelona,3-2
Villarreal,Santander,2-0
Osasuna,Valencia,2-1
Sevilla,Real Madrid,4-3
Ath Bilbao,Barcelona,3-1
Valencia,Betis,2-1
Ath Bilbao,Sociedad,1-1
Espanol,Gimnastic,0-1
La Coruna,Zaragoza,3-2
Osasuna,Getafe,0-2
Real Madrid,Villarreal,0-0
Recreativo,Mallorca,1-1
Santander,Ath Madrid,0-1
Celta,Barcelona,2-3
Sevilla,Levante,4-0
Ath Madrid,Valencia,0-1
Barcelona,Osasuna,3-0
Betis,Ath Bilbao,3-0
Getafe,Santander,1-0
Gimnastic,Celta,1-2
Levante,Real Madrid,1-4
Mallorca,La Coruna,0-0
Sociedad,Sevilla,1-3
Villarreal,Recreativo,0-1
Zaragoza,Espanol,3-0
La Coruna,Villarreal,2-0
Ath Bilbao,Ath Madrid,1-4
Espanol,Celta,2-1
Osasuna,Gimnastic,2-0
Real Madrid,Sociedad,2-0
Recreativo,Levante,0-1
Santander,Barcelona,0-3
Sevilla,Betis,3-2
Valencia,Getafe,2-0
Zaragoza,Mallorca,2-0
Betis,Real Madrid,0-1
Ath Madrid,Sevilla,2-1
Barcelona,Valencia,1-1
Celta,Osasuna,0-2
Getafe,Ath Bilbao,0-0
Gimnastic,Santander,2-2
Levante,La Coruna,2-0
Mallorca,Espanol,1-0
Sociedad,Recreativo,2-3
Villarreal,Zaragoza,3-2
Ath Bilbao,Barcelona,1-3
Espanol,Osasuna,0-0
La Coruna,Sociedad,2-0
Mallorca,Villarreal,1-2
Real Madrid,Ath Madrid,1-1
Recreativo,Betis,2-0
Santander,Celta,1-1
Sevilla,Getafe,1-0
Valencia,Gimnastic,4-0
Zaragoza,Levante,2-2
Ath Madrid,Recreativo,2-1
Getafe,Real Madrid,1-0
Barcelona,Sevilla,3-1
Betis,La Coruna,1-1
Celta,Valencia,3-2
Gimnastic,Ath Bilbao,2-3
Levante,Mallorca,0-1
Osasuna,Santander,0-1
Sociedad,Zaragoza,1-3
Villarreal,Espanol,0-0
La Coruna,Ath Madrid,1-0
Villarreal,Levante,1-1
Zaragoza,Betis,2-1
Ath Bilbao,Celta,0-1
Espanol,Santander,2-2
Mallorca,Sociedad,0-0
Real Madrid,Barcelona,2-0
Recreativo,Getafe,1-2
Sevilla,Gimnastic,2-1
Valencia,Osasuna,1-0
Barcelona,Recreativo,3-0
Gimnastic,Real Madrid,1-3
Santander,Valencia,1-0
Ath Madrid,Zaragoza,0-1
Betis,Mallorca,0-1
Celta,Sevilla,1-2
Getafe,La Coruna,2-0
Levante,Espanol,0-0
Osasuna,Ath Bilbao,1-1
Sociedad,Villarreal,0-1
La Coruna,Barcelona,1-1
